pasillo,columna,ubicacion
1.0,1.0,A0101F
1.0,1.0,A0101R
1.0,1.0,A0102F
1.0,1.0,A0102R
1.0,1.0,A0103F
1.0,1.0,A0103R
1.0,1.0,A0104F
1.0,1.0,A0104R
1.0,1.0,A0105F
1.0,1.0,A0105R
1.0,1.0,A0106F
1.0,1.0,A0106R
1.0,1.0,A0107F
1.0,1.0,A0107R
1.0,1.0,A0108F
1.0,1.0,A0108R
1.0,2.0,A0201F
1.0,2.0,A0201R
1.0,2.0,A0202F
1.0,2.0,A0202R
1.0,2.0,A0203F
1.0,2.0,A0203R
1.0,2.0,A0204F
1.0,2.0,A0204R
1.0,2.0,A0205F
1.0,2.0,A0205R
1.0,2.0,A0206F
1.0,2.0,A0206R
1.0,2.0,A0207F
1.0,2.0,A0207R
1.0,2.0,A0208F
1.0,2.0,A0208R
1.0,3.0,A0301F
1.0,3.0,A0301R
1.0,3.0,A0302F
1.0,3.0,A0302R
1.0,3.0,A0303F
1.0,3.0,A0303R
1.0,3.0,A0304F
1.0,3.0,A0304R
1.0,3.0,A0305F
1.0,3.0,A0305R
1.0,3.0,A0306F
1.0,3.0,A0306R
1.0,3.0,A0307F
1.0,3.0,A0307R
1.0,3.0,A0308F
1.0,3.0,A0308R
1.0,4.0,A0401F
1.0,4.0,A0401R
1.0,4.0,A0402F
1.0,4.0,A0402R
1.0,4.0,A0403F
1.0,4.0,A0403R
1.0,4.0,A0404F
1.0,4.0,A0404R
1.0,4.0,A0405F
1.0,4.0,A0405R
1.0,4.0,A0406F
1.0,4.0,A0406R
1.0,4.0,A0407F
1.0,4.0,A0407R
1.0,4.0,A0408F
1.0,4.0,A0408R
1.0,5.0,A0501F
1.0,5.0,A0501R
1.0,5.0,A0502F
1.0,5.0,A0502R
1.0,5.0,A0503F
1.0,5.0,A0503R
1.0,5.0,A0504F
1.0,5.0,A0504R
1.0,5.0,A0505F
1.0,5.0,A0505R
1.0,5.0,A0506F
1.0,5.0,A0506R
1.0,5.0,A0507F
1.0,5.0,A0507R
1.0,5.0,A0508F
1.0,6.0,A0601F
1.0,6.0,A0601R
1.0,6.0,A0602F
1.0,6.0,A0602R
1.0,6.0,A0603F
1.0,6.0,A0603R
1.0,6.0,A0604F
1.0,6.0,A0604R
1.0,6.0,A0605F
1.0,6.0,A0605R
1.0,6.0,A0606F
1.0,6.0,A0606R
1.0,6.0,A0607F
1.0,6.0,A0607R
1.0,6.0,A0608F
1.0,5.0,A0608R
1.0,6.0,A0608R
1.0,7.0,A0701F
1.0,7.0,A0702F
1.0,7.0,A0703F
1.0,7.0,A0704F
1.0,7.0,A0705F
1.0,7.0,A0706F
1.0,7.0,A0707F
1.0,7.0,A0708F
1.0,8.0,A0801F
1.0,8.0,A0802F
1.0,8.0,A0803F
1.0,8.0,A0804F
1.0,8.0,A0805F
1.0,8.0,A0806F
1.0,8.0,A0807F
1.0,8.0,A0808F
1.0,9.0,A0901F
1.0,9.0,A0901R
1.0,9.0,A0902F
1.0,9.0,A0902R
1.0,9.0,A0903F
1.0,9.0,A0903R
1.0,9.0,A0904F
1.0,9.0,A0904R
1.0,9.0,A0905F
1.0,9.0,A0905R
1.0,9.0,A0906F
1.0,9.0,A0906R
1.0,9.0,A0907F
1.0,9.0,A0907R
1.0,9.0,A0908F
1.0,9.0,A0908R
1.0,10.0,A1001F
1.0,10.0,A1001R
1.0,10.0,A1002F
1.0,10.0,A1002R
1.0,10.0,A1003F
1.0,10.0,A1003R
1.0,10.0,A1004F
1.0,10.0,A1004R
1.0,10.0,A1005F
1.0,10.0,A1005R
1.0,10.0,A1006F
1.0,10.0,A1006R
1.0,10.0,A1007F
1.0,10.0,A1007R
1.0,10.0,A1008F
1.0,10.0,A1008R
1.0,11.0,A1101F
1.0,11.0,A1101R
1.0,11.0,A1102F
1.0,11.0,A1102R
1.0,11.0,A1103F
1.0,11.0,A1103R
1.0,11.0,A1104F
1.0,11.0,A1104R
1.0,11.0,A1105F
1.0,11.0,A1105R
1.0,11.0,A1106F
1.0,11.0,A1106R
1.0,11.0,A1107F
1.0,11.0,A1107R
1.0,11.0,A1108F
1.0,11.0,A1108R
1.0,12.0,A1201F
1.0,12.0,A1201R
1.0,12.0,A1202F
1.0,12.0,A1202R
1.0,12.0,A1203F
1.0,12.0,A1203R
1.0,12.0,A1204F
1.0,12.0,A1204R
1.0,12.0,A1205F
1.0,12.0,A1205R
1.0,12.0,A1206F
1.0,12.0,A1206R
1.0,12.0,A1207F
1.0,12.0,A1207R
1.0,12.0,A1208F
1.0,12.0,A1208R
1.0,13.0,A1301F
1.0,13.0,A1302F
1.0,13.0,A1303F
1.0,13.0,A1304F
1.0,13.0,A1305F
1.0,13.0,A1306F
1.0,13.0,A1307F
