pasillo,columna,ubicacion
1,1,A0101F
1,1,A0101R
1,1,A0102F
1,1,A0102R
1,1,A0103F
1,1,A0103R
1,1,A0104F
1,1,A0104R
1,1,A0105F
1,1,A0105R
1,1,A0106F
1,1,A0106R
1,2,A0201F
1,2,A0201R
1,2,A0202F
1,2,A0202R
1,2,A0203F
1,2,A0203R
1,2,A0204F
1,2,A0204R
1,2,A0205F
1,2,A0205R
1,2,A0206F
1,2,A0206R
1,3,A0301F
1,3,A0301R
1,3,A0302F
1,3,A0302R
1,3,A0303F
1,3,A0303R
1,3,A0304F
1,3,A0304R
1,3,A0305F
1,3,A0305R
1,3,A0306F
1,3,A0306R
1,4,A0401F
1,4,A0401R
1,4,A0402F
1,4,A0402R
1,4,A0403F
1,4,A0403R
1,4,A0404F
1,4,A0404R
1,4,A0405F
1,4,A0405R
1,4,A0406F
1,4,A0406R
1,5,A0501F
1,5,A0501R
1,5,A0502F
1,5,A0502R
1,5,A0503F
1,5,A0503R
1,5,A0504F
1,5,A0504R
1,5,A0505F
1,5,A0505R
1,5,A0506F
1,5,A0506R
1,6,A0601F
1,6,A0601R
1,6,A0602F
1,6,A0602R
1,6,A0603F
1,6,A0603R
1,6,A0604F
1,6,A0604R
1,6,A0605F
1,6,A0605R
1,6,A0606F
1,6,A0606R
1,7,A0701F
1,7,A0701R
1,7,A0702F
1,7,A0702R
1,7,A0703F
1,7,A0703R
1,7,A0704F
1,7,A0704R
1,7,A0705F
1,7,A0705R
1,7,A0706F
1,7,A0706R
1,8,A0801F
1,8,A0801R
1,8,A0802F
1,8,A0802R
1,8,A0803F
1,8,A0803R
1,8,A0804F
1,8,A0804R
1,8,A0805F
1,8,A0805R
1,8,A0806F
1,8,A0806R
1,9,A0901F
1,9,A0901R
1,9,A0902F
1,9,A0902R
1,9,A0903F
1,9,A0903R
1,9,A0904F
1,9,A0904R
1,9,A0905F
1,9,A0905R
1,9,A0906F
1,9,A0906R
1,10,A1001F
1,10,A1001R
1,10,A1002F
1,10,A1002R
1,10,A1003F
1,10,A1003R
1,10,A1004F
1,10,A1004R
1,10,A1005F
1,10,A1005R
1,10,A1006F
1,10,A1006R
1,11,A1101F
1,11,A1101R
1,11,A1102F
1,11,A1102R
1,11,A1103F
1,11,A1103R
1,11,A1104F
1,11,A1104R
1,11,A1105F
1,11,A1105R
1,11,A1106F
1,11,A1106R
1,12,A1201F
1,12,A1201R
1,12,A1202F
1,12,A1202R
1,12,A1203F
1,12,A1203R
1,12,A1204F
1,12,A1204R
1,12,A1205F
1,12,A1205R
1,12,A1206F
1,12,A1206R
1,13,A1301F
1,13,A1301R
1,13,A1302F
1,13,A1302R
1,13,A1303F
1,13,A1303R
1,13,A1304F
1,13,A1304R
1,13,A1305F
1,13,A1305R
1,13,A1306F
1,13,A1306R
1,14,A1401F
1,14,A1401R
1,14,A1402F
1,14,A1402R
1,14,A1403F
1,14,A1403R
1,14,A1404F
1,14,A1404R
1,14,A1405F
1,14,A1405R
1,14,A1406F
1,14,A1406R
1,15,A1501F
1,15,A1501R
1,15,A1502F
1,15,A1502R
1,15,A1503F
1,15,A1503R
1,15,A1504F
1,15,A1504R
1,15,A1505F
1,15,A1505R
1,15,A1506F
1,15,A1506R
1,16,A1601F
1,16,A1601R
1,16,A1602F
1,16,A1602R
1,16,A1603F
1,16,A1603R
1,16,A1604F
1,16,A1604R
1,16,A1605F
1,16,A1605R
1,16,A1606F
1,16,A1606R
1,17,A1701F
1,17,A1701R
1,17,A1702F
1,17,A1702R
1,17,A1703F
1,17,A1703R
1,17,A1704F
1,17,A1704R
1,17,A1705F
1,17,A1705R
1,17,A1706F
1,17,A1706R
1,18,A1801F
1,18,A1801R
1,18,A1802F
1,18,A1802R
1,18,A1803F
1,18,A1803R
1,18,A1804F
1,18,A1804R
1,18,A1805F
1,18,A1805R
1,18,A1806F
1,18,A1806R
1,19,A1901F
1,19,A1901R
1,19,A1902F
1,19,A1902R
1,19,A1903F
1,19,A1903R
1,19,A1904F
1,19,A1904R
1,19,A1905F
1,19,A1905R
1,19,A1906F
1,19,A1906R
1,20,A2001F
1,20,A2001R
1,20,A2002F
1,20,A2002R
1,20,A2003F
1,20,A2003R
1,20,A2004F
1,20,A2004R
1,20,A2005F
1,20,A2005R
1,20,A2006F
1,20,A2006R
1,21,A2101F
1,21,A2101R
1,21,A2102F
1,21,A2102R
1,21,A2103F
1,21,A2103R
1,21,A2104F
1,21,A2104R
1,21,A2105F
1,21,A2105R
1,21,A2106F
1,21,A2106R
1,22,A2201F
1,22,A2201R
1,22,A2202F
1,22,A2202R
1,22,A2203F
1,22,A2203R
1,22,A2204F
1,22,A2204R
1,22,A2205F
1,22,A2205R
1,22,A2206F
1,22,A2206R
1,23,A2301F
1,23,A2301R
1,23,A2302F
1,23,A2302R
1,23,A2303F
1,23,A2303R
1,23,A2304F
1,23,A2304R
1,23,A2305F
1,23,A2305R
1,23,A2306F
1,23,A2306R
1,24,A2401F
1,24,A2401R
1,24,A2402F
1,24,A2402R
1,24,A2403F
1,24,A2403R
1,24,A2404F
1,24,A2404R
1,24,A2405F
1,24,A2405R
1,24,A2406F
1,24,A2406R
1,25,A2501F
1,25,A2501R
1,25,A2502F
1,25,A2502R
1,25,A2503F
1,25,A2503R
1,25,A2504F
1,25,A2504R
1,25,A2505F
1,25,A2505R
1,25,A2506F
1,25,A2506R
1,26,A2601F
1,26,A2601R
1,26,A2602F
1,26,A2602R
1,26,A2603F
1,26,A2603R
1,26,A2604F
1,26,A2604R
1,26,A2605F
1,26,A2605R
1,26,A2606F
1,26,A2606R
1,27,A2701F
1,27,A2701R
1,27,A2702F
1,27,A2702R
1,27,A2703F
1,27,A2703R
1,27,A2704F
1,27,A2704R
1,27,A2705F
1,27,A2705R
1,27,A2706F
1,27,A2706R
1,28,A2801F
1,28,A2801R
1,28,A2802F
1,28,A2802R
1,28,A2803F
1,28,A2803R
1,28,A2804F
1,28,A2804R
1,28,A2805F
1,28,A2805R
1,28,A2806F
1,28,A2806R
1,29,A2901F
1,29,A2901R
1,29,A2902F
1,29,A2902R
1,29,A2903F
1,29,A2903R
1,29,A2904F
1,29,A2904R
1,29,A2905F
1,29,A2905R
1,29,A2906F
1,29,A2906R
1,30,A3001F
1,30,A3001R
1,30,A3002F
1,30,A3002R
1,30,A3003F
1,30,A3003R
1,30,A3004F
1,30,A3004R
1,30,A3005F
1,30,A3005R
1,30,A3006F
1,30,A3006R
1,31,A3101F
1,31,A3101R
1,31,A3102F
1,31,A3102R
1,31,A3103F
1,31,A3103R
1,31,A3104F
1,31,A3104R
1,31,A3105F
1,31,A3105R
1,31,A3106F
1,31,A3106R
1,32,A3201F
1,32,A3201R
1,32,A3202F
1,32,A3202R
1,32,A3203F
1,32,A3203R
1,32,A3204F
1,32,A3204R
1,32,A3205F
1,32,A3205R
1,32,A3206F
1,32,A3206R
1.0,1.0,B0101F
1.0,1.0,B0101R
1.0,1.0,B0102F
1.0,1.0,B0102R
1.0,1.0,B0103F
1.0,1.0,B0103R
1.0,1.0,B0104F
1.0,1.0,B0104R
1.0,1.0,B0105F
1.0,1.0,B0105R
1.0,1.0,B0106F
1.0,1.0,B0106R
1.0,2.0,B0201F
1.0,2.0,B0201R
1.0,2.0,B0202F
1.0,2.0,B0202R
1.0,2.0,B0203F
1.0,2.0,B0203R
1.0,2.0,B0204F
1.0,2.0,B0204R
1.0,2.0,B0205F
1.0,2.0,B0205R
1.0,2.0,B0206F
1.0,2.0,B0206R
1.0,3.0,B0301F
1.0,3.0,B0301R
1.0,3.0,B0302F
1.0,3.0,B0302R
1.0,3.0,B0303F
1.0,3.0,B0303R
1.0,3.0,B0304F
1.0,3.0,B0304R
1.0,3.0,B0305F
1.0,3.0,B0305R
1.0,3.0,B0306F
1.0,3.0,B0306R
1.0,4.0,B0401F
1.0,4.0,B0401R
1.0,4.0,B0402F
1.0,4.0,B0402R
1.0,4.0,B0403F
1.0,4.0,B0403R
1.0,4.0,B0404F
1.0,4.0,B0404R
1.0,4.0,B0405F
1.0,4.0,B0405R
1.0,4.0,B0406F
1.0,4.0,B0406R
1.0,5.0,B0501F
1.0,5.0,B0501R
1.0,5.0,B0502F
1.0,5.0,B0502R
1.0,5.0,B0503F
1.0,5.0,B0503R
1.0,5.0,B0504F
1.0,5.0,B0504R
1.0,5.0,B0505F
1.0,5.0,B0505R
1.0,5.0,B0506F
1.0,5.0,B0506R
1.0,6.0,B0601F
1.0,6.0,B0601R
1.0,6.0,B0602F
1.0,6.0,B0602R
1.0,6.0,B0603F
1.0,6.0,B0603R
1.0,6.0,B0604F
1.0,6.0,B0604R
1.0,6.0,B0605F
1.0,6.0,B0605R
1.0,6.0,B0606F
1.0,6.0,B0606R
1.0,7.0,B0701F
1.0,7.0,B0701R
1.0,7.0,B0702F
1.0,7.0,B0702R
1.0,7.0,B0703F
1.0,7.0,B0703R
1.0,7.0,B0704F
1.0,7.0,B0704R
1.0,7.0,B0705F
1.0,7.0,B0705R
1.0,7.0,B0706F
1.0,7.0,B0706R
1.0,8.0,B0801F
1.0,8.0,B0801R
1.0,8.0,B0802F
1.0,8.0,B0802R
1.0,8.0,B0803F
1.0,8.0,B0803R
1.0,8.0,B0804F
1.0,8.0,B0804R
1.0,8.0,B0805F
1.0,8.0,B0805R
1.0,8.0,B0806F
1.0,8.0,B0806R
1.0,9.0,B0901F
1.0,9.0,B0901R
1.0,9.0,B0902F
1.0,9.0,B0902R
1.0,9.0,B0903F
1.0,9.0,B0903R
1.0,9.0,B0904F
1.0,9.0,B0904R
1.0,9.0,B0905F
1.0,9.0,B0905R
1.0,9.0,B0906F
1.0,9.0,B0906R
1.0,10.0,B1001F
1.0,10.0,B1001R
1.0,10.0,B1002F
1.0,10.0,B1002R
1.0,10.0,B1003F
1.0,10.0,B1003R
1.0,10.0,B1004F
1.0,10.0,B1004R
1.0,10.0,B1005F
1.0,10.0,B1005R
1.0,10.0,B1006F
1.0,10.0,B1006R
1.0,11.0,B1101F
1.0,11.0,B1101R
1.0,11.0,B1102F
1.0,11.0,B1102R
1.0,11.0,B1103F
1.0,11.0,B1103R
1.0,11.0,B1104F
1.0,11.0,B1104R
1.0,11.0,B1105F
1.0,11.0,B1105R
1.0,11.0,B1106F
1.0,11.0,B1106R
1.0,12.0,B1201F
1.0,12.0,B1201R
1.0,12.0,B1202F
1.0,12.0,B1202R
1.0,12.0,B1203F
1.0,12.0,B1203R
1.0,12.0,B1204F
1.0,12.0,B1204R
1.0,12.0,B1205F
1.0,12.0,B1205R
1.0,12.0,B1206F
1.0,12.0,B1206R
1.0,13.0,B1301F
1.0,13.0,B1301R
1.0,13.0,B1302F
1.0,13.0,B1302R
1.0,13.0,B1303F
1.0,13.0,B1303R
1.0,13.0,B1304F
1.0,13.0,B1304R
1.0,13.0,B1305F
1.0,13.0,B1305R
1.0,13.0,B1306F
1.0,13.0,B1306R
1.0,14.0,B1401F
1.0,14.0,B1401R
1.0,14.0,B1402F
1.0,14.0,B1402R
1.0,14.0,B1403F
1.0,14.0,B1403R
1.0,14.0,B1404F
1.0,14.0,B1404R
1.0,14.0,B1405F
1.0,14.0,B1405R
1.0,14.0,B1406F
1.0,14.0,B1406R
1.0,15.0,B1504F
1.0,15.0,B1504R
1.0,15.0,B1505F
1.0,15.0,B1505R
1.0,15.0,B1506F
1.0,15.0,B1506R
1.0,16.0,B1604F
1.0,16.0,B1604R
1.0,16.0,B1605F
1.0,16.0,B1605R
1.0,16.0,B1606F
1.0,16.0,B1606R
1.0,17.0,B1701F
1.0,17.0,B1701R
1.0,17.0,B1702F
1.0,17.0,B1702R
1.0,17.0,B1703F
1.0,17.0,B1703R
1.0,17.0,B1704F
1.0,17.0,B1704R
1.0,17.0,B1705F
1.0,17.0,B1705R
1.0,17.0,B1706F
1.0,17.0,B1706R
1.0,18.0,B1801F
1.0,18.0,B1801R
1.0,18.0,B1802F
1.0,18.0,B1802R
1.0,18.0,B1803F
1.0,18.0,B1803R
1.0,18.0,B1804F
1.0,18.0,B1804R
1.0,18.0,B1805F
1.0,18.0,B1805R
1.0,18.0,B1806F
1.0,18.0,B1806R
1.0,19.0,B1901F
1.0,19.0,B1901R
1.0,19.0,B1902F
1.0,19.0,B1902R
1.0,19.0,B1903F
1.0,19.0,B1903R
1.0,19.0,B1904F
1.0,19.0,B1904R
1.0,19.0,B1905F
1.0,19.0,B1905R
1.0,19.0,B1906F
1.0,19.0,B1906R
1.0,20.0,B2001F
1.0,20.0,B2001R
1.0,20.0,B2002F
1.0,20.0,B2002R
1.0,20.0,B2003F
1.0,20.0,B2003R
1.0,20.0,B2004F
1.0,20.0,B2004R
1.0,20.0,B2005F
1.0,20.0,B2005R
1.0,20.0,B2006F
1.0,20.0,B2006R
1.0,21.0,B2101F
1.0,21.0,B2101R
1.0,21.0,B2102F
1.0,21.0,B2102R
1.0,21.0,B2103F
1.0,21.0,B2103R
1.0,21.0,B2104F
1.0,21.0,B2104R
1.0,21.0,B2105F
1.0,21.0,B2105R
1.0,21.0,B2106F
1.0,21.0,B2106R
1.0,22.0,B2201F
1.0,22.0,B2201R
1.0,22.0,B2202F
1.0,22.0,B2202R
1.0,22.0,B2203F
1.0,22.0,B2203R
1.0,22.0,B2204F
1.0,22.0,B2204R
1.0,22.0,B2205F
1.0,22.0,B2205R
1.0,22.0,B2206F
1.0,22.0,B2206R
1.0,23.0,B2301F
1.0,23.0,B2301R
1.0,23.0,B2302F
1.0,23.0,B2302R
1.0,23.0,B2303F
1.0,23.0,B2303R
1.0,23.0,B2304F
1.0,23.0,B2304R
1.0,23.0,B2305F
1.0,23.0,B2305R
1.0,23.0,B2306F
1.0,23.0,B2306R
1.0,24.0,B2401F
1.0,24.0,B2401R
1.0,24.0,B2402F
1.0,24.0,B2402R
1.0,24.0,B2403F
1.0,24.0,B2403R
1.0,24.0,B2404F
1.0,24.0,B2404R
1.0,24.0,B2405F
1.0,24.0,B2405R
1.0,24.0,B2406F
1.0,24.0,B2406R
1.0,25.0,B2501F
1.0,25.0,B2501R
1.0,25.0,B2502F
1.0,25.0,B2502R
1.0,25.0,B2503F
1.0,25.0,B2503R
1.0,25.0,B2504F
1.0,25.0,B2504R
1.0,25.0,B2505F
1.0,25.0,B2505R
1.0,25.0,B2506F
1.0,25.0,B2506R
